participant_id,n_likert_items,n_unique_values,values,in_cells,n_cells,has_posttask,flagged_strict,flagged_relaxed,excluded
UCL0DHECO8C,13,1,4,TRUE,13,TRUE,TRUE,TRUE,TRUE
UCL5N72OPCK,16,1,7,TRUE,11,TRUE,TRUE,TRUE,TRUE
UCLUBNIDCKK,16,1,4,FALSE,0,TRUE,TRUE,TRUE,FALSE
UCLCEUS0U3T,,,,TRUE,10,FALSE,FALSE,FALSE,FALSE
UCL3GNOX0FG,16,2,1|4,TRUE,8,TRUE,FALSE,TRUE,FALSE
UCLGVXX8SZQ,16,2,2|7,TRUE,13,TRUE,FALSE,TRUE,FALSE
UCLSPQP3TAQ,13,2,6|7,TRUE,11,TRUE,FALSE,TRUE,FALSE
UCLYFQMGG1H,13,2,1|2,TRUE,12,TRUE,FALSE,TRUE,FALSE
UCL0ZGVZV11,13,3,5|6|7,TRUE,15,TRUE,FALSE,FALSE,FALSE
UCL4XQH8LDO,13,3,3|5|6,TRUE,6,TRUE,FALSE,FALSE,FALSE
UCL74OBTXFB,16,3,2|3|4,TRUE,12,TRUE,FALSE,FALSE,FALSE
UCLB1SIQD7H,13,3,3|4|5,TRUE,14,TRUE,FALSE,FALSE,FALSE
UCLJ7ODFWR7,16,3,4|5|6,TRUE,15,TRUE,FALSE,FALSE,FALSE
UCLOWSEFP4L,16,3,1|2|4,TRUE,2,TRUE,FALSE,FALSE,FALSE
UCLRS30TB8T,13,3,3|4|5,TRUE,11,TRUE,FALSE,FALSE,FALSE
UCL3254LKQG,13,4,2|3|5|6,TRUE,12,TRUE,FALSE,FALSE,FALSE
UCL33ZJQWRY,16,4,2|3|6|7,TRUE,17,TRUE,FALSE,FALSE,FALSE
UCL4WVABPXK,13,4,2|3|4|6,TRUE,13,TRUE,FALSE,FALSE,FALSE
UCL6098GOLK,13,4,2|3|4|5,TRUE,9,TRUE,FALSE,FALSE,FALSE
UCL7YJM913F,16,4,2|3|4|5,TRUE,7,TRUE,FALSE,FALSE,FALSE
UCL8PEWAHAG,13,4,1|3|4|6,TRUE,1,TRUE,FALSE,FALSE,FALSE
UCLAT9TADY6,16,4,2|3|5|6,TRUE,13,TRUE,FALSE,FALSE,FALSE
UCLDHZ8L5KK,16,4,2|5|6|7,TRUE,13,TRUE,FALSE,FALSE,FALSE
UCLJY0QZW9Y,13,4,2|3|4|5,TRUE,9,TRUE,FALSE,FALSE,FALSE
UCLQKT3819R,16,4,2|3|4|5,TRUE,14,TRUE,FALSE,FALSE,FALSE
UCLUKB9CQI2,16,4,3|4|6|7,TRUE,10,TRUE,FALSE,FALSE,FALSE
UCLVG5H9CDR,16,4,2|3|6|7,TRUE,15,TRUE,FALSE,FALSE,FALSE
UCLWA213LXW,13,4,1|2|6|7,TRUE,9,TRUE,FALSE,FALSE,FALSE
UCLY5TYE7T0,13,4,3|4|5|7,TRUE,11,TRUE,FALSE,FALSE,FALSE
UCL3ABJV0L4,13,5,1|2|3|4|5,TRUE,2,TRUE,FALSE,FALSE,FALSE
UCL43JN2Z3V,16,5,2|3|5|6|7,TRUE,11,TRUE,FALSE,FALSE,FALSE
UCL4H0D91DM,13,5,1|2|5|6|7,TRUE,13,TRUE,FALSE,FALSE,FALSE
UCL5G98R8JI,16,5,3|4|5|6|7,TRUE,15,TRUE,FALSE,FALSE,FALSE
UCLNC2C00CG,13,5,3|4|5|6|7,TRUE,5,TRUE,FALSE,FALSE,FALSE
UCLNRA0PN39,13,5,1|2|3|5|7,TRUE,15,TRUE,FALSE,FALSE,FALSE
UCLWFFUNV3X,16,5,2|3|5|6|7,TRUE,15,TRUE,FALSE,FALSE,FALSE
UCLZKNCF9BN,13,5,2|3|4|5|6,FALSE,0,TRUE,FALSE,FALSE,FALSE
UCLDE02VDS2,16,6,1|2|3|4|5|7,TRUE,13,TRUE,FALSE,FALSE,FALSE
UCLQS91725T,16,6,2|3|4|5|6|7,TRUE,5,TRUE,FALSE,FALSE,FALSE
UCLK6ZL2YU1,13,7,1|2|3|4|5|6|7,TRUE,11,TRUE,FALSE,FALSE,FALSE
