participant_id,condition,month,round,followed,decision_type,available_snapshot,invested,cas,chatbot_change,newspost_change,direction
UCLVG5H9CDR,llm-reasoning,1,1,1,follow,1000.00,100.00,0.1000000000,3.00,0.29,follow
UCLVG5H9CDR,llm-reasoning,1,2,1,follow,900.00,400.00,0.4444444444,11.00,-8.46,follow
UCLVG5H9CDR,llm-reasoning,1,3,1,follow,500.00,100.00,0.2000000000,1.80,2.24,follow
UCLVG5H9CDR,llm-reasoning,1,4,1,follow,400.00,400.00,1.0000000000,1.30,12.28,follow
UCLVG5H9CDR,llm-reasoning,2,1,1,follow,1000.00,200.00,0.2000000000,4.90,0.07,follow
UCLVG5H9CDR,llm-reasoning,2,2,0,decline,800.00,,,2.29,-3.90,follow
UCLVG5H9CDR,llm-reasoning,2,3,1,follow,300.00,300.00,1.0000000000,13.00,-0.76,follow
UCLVG5H9CDR,llm-reasoning,2,4,1,follow,20.00,20.00,1.0000000000,4.75,7.17,follow
UCLVG5H9CDR,llm-reasoning,3,1,1,follow,1000.00,500.00,0.5000000000,12.00,5.16,follow
UCLVG5H9CDR,llm-reasoning,3,2,1,unfollow,500.00,102.00,,-1.80,9.39,unfollow
UCLVG5H9CDR,llm-reasoning,3,3,1,unfollow,602.00,457.32,,-11.00,3.61,unfollow
UCLVG5H9CDR,llm-reasoning,3,4,1,follow,1059.32,200.00,0.1888003625,9.50,-5.91,follow
UCLVG5H9CDR,llm-reasoning,4,2,1,unfollow,0.26,2984.69,,-4.90,-2.80,unfollow
UCLVG5H9CDR,llm-reasoning,5,2,1,unfollow,484.95,532.00,,-11.00,-11.28,unfollow
UCLVG5H9CDR,llm-reasoning,5,3,1,unfollow,1016.95,199.29,,-11.00,-4.23,unfollow
UCL4H0D91DM,llm-control,1,1,0,decline,1000.00,,,1.30,-3.21,follow
UCL4H0D91DM,llm-control,1,2,1,follow,1000.00,200.00,0.2000000000,11.00,6.80,follow
UCL4H0D91DM,llm-control,1,3,0,decline,800.00,,,3.00,-1.36,follow
UCL4H0D91DM,llm-control,1,4,1,follow,800.00,200.00,0.2500000000,1.80,6.93,follow
