participant_id,condition,month,round,followed,decision_type,available_snapshot,invested,cas,chatbot_change,newspost_change,direction
UCLVG5H9CDR,llm-reasoning,1,1,1,follow,1000,100,0.1,3,0.29,follow
UCLVG5H9CDR,llm-reasoning,1,2,1,follow,900,400,0.4444444444,11,-8.46,follow
UCLVG5H9CDR,llm-reasoning,1,3,1,follow,500,100,0.2,1.8,2.24,follow
UCLVG5H9CDR,llm-reasoning,1,4,1,follow,400,400,1,1.3,12.28,follow
UCLVG5H9CDR,llm-reasoning,2,1,1,follow,1000,200,0.2,4.9,0.07,follow
UCLVG5H9CDR,llm-reasoning,2,2,0,decline,800,,,2.29,-3.9,follow
UCLVG5H9CDR,llm-reasoning,2,3,1,follow,300,300,1,13,-0.76,follow
UCLVG5H9CDR,llm-reasoning,2,4,1,follow,20,20,1,4.75,7.17,follow
UCLVG5H9CDR,llm-reasoning,3,1,1,follow,1000,500,0.5,12,5.16,follow
UCLVG5H9CDR,llm-reasoning,3,2,1,unfollow,500,102,,-1.8,9.39,unfollow
UCLVG5H9CDR,llm-reasoning,3,3,1,unfollow,602,457.32,,-11,3.61,unfollow
UCLVG5H9CDR,llm-reasoning,3,4,1,follow,1059.32,200,0.1888003625,9.5,-5.91,follow
UCLVG5H9CDR,llm-reasoning,4,2,1,unfollow,0.26,2984.69,,-4.9,-2.8,unfollow
UCLVG5H9CDR,llm-reasoning,5,2,1,unfollow,484.95,532,,-11,-11.28,unfollow
UCLVG5H9CDR,llm-reasoning,5,3,1,unfollow,1016.95,199.29,,-11,-4.23,unfollow
UCL4H0D91DM,llm-control,1,1,0,decline,1000,,,1.3,-3.21,follow
UCL4H0D91DM,llm-control,1,2,1,follow,1000,200,0.2,11,6.8,follow
UCL4H0D91DM,llm-control,1,3,0,decline,800,,,3,-1.36,follow
UCL4H0D91DM,llm-control,1,4,1,follow,800,200,0.25,1.8,6.93,follow
UCL4H0D91DM,llm-control,2,1,0,decline,1600,,,4.75,-6.48,follow
UCL4H0D91DM,llm-control,2,2,1,follow,1600,600,0.375,13,2.77,follow
UCL4H0D91DM,llm-control,2,3,1,follow,1000,300,0.3,4.9,1,follow
UCL4H0D91DM,llm-control,2,4,0,decline,700,,,2.29,-0.55,follow
UCL4H0D91DM,llm-control,3,1,0,decline,1700,,,12,-4.82,follow
UCL4H0D91DM,llm-control,3,2,0,decline,1700,,,-1.8,-4.08,unfollow
UCL4H0D91DM,llm-control,4,2,1,follow,2904.01,500,0.1721757156,5,-0.43,follow
UCL4H0D91DM,llm-control,4,3,1,unfollow,2404.01,311.87,,-4.9,-3.2,unfollow
UCL4H0D91DM,llm-control,4,4,1,follow,2715.88,700,0.2577433465,0.95,2.19,follow
UCL3254LKQG,llm-control,1,1,1,follow,1000,100,0.1,1.8,-6.82,follow
UCL3254LKQG,llm-control,1,2,1,follow,500,200,0.4,11,2.02,follow
UCL3254LKQG,llm-control,2,1,1,follow,1320,300,0.2272727273,13,-0.94,follow
UCL3254LKQG,llm-control,2,2,1,follow,1020,300,0.2941176471,4.75,1.75,follow
UCL3254LKQG,llm-control,2,4,1,follow,1001.44,300,0.2995686212,4.9,-9.27,follow
UCL3254LKQG,llm-control,3,1,1,follow,1721.44,600,0.3485454038,12,0.67,follow
UCL3254LKQG,llm-control,3,2,1,follow,1121.44,300,0.2675131973,9.5,0.43,follow
UCL3254LKQG,llm-control,4,1,1,unfollow,1745.19,311.87,,-4.9,-3.61,unfollow
UCL3254LKQG,llm-control,4,4,1,follow,2057.06,600,0.2916784148,5,2.44,follow
UCL3254LKQG,llm-control,5,1,1,follow,1023.19,500,0.4886677939,12,-10.87,follow
UCL3254LKQG,llm-control,5,3,1,unfollow,523.19,838.4,,-11,-2.46,unfollow
UCL3254LKQG,llm-control,5,4,1,unfollow,1361.59,798.94,,-11,-5.15,unfollow
UCL4WVABPXK,llm-control,1,1,1,follow,1000,1000,1,11,3.07,follow
UCL4WVABPXK,llm-control,1,2,0,decline,0,,,3,11.7,follow
UCL4WVABPXK,llm-control,1,3,0,decline,0,,,1.3,3.3,follow
UCL4WVABPXK,llm-control,1,4,0,decline,0,,,1.8,-2.83,follow
UCL4WVABPXK,llm-control,2,1,1,follow,1000,800,0.8,13,-0.44,follow
UCL4WVABPXK,llm-control,2,2,0,decline,200,,,4.75,5.35,follow
UCL4WVABPXK,llm-control,2,3,1,follow,200,200,1,2.29,-3.2,follow
UCL4WVABPXK,llm-control,3,1,1,follow,3047.3,800,0.2625274833,9.5,-4.45,follow
UCL4WVABPXK,llm-control,3,2,1,follow,2247.3,800,0.3559827348,12,-8.07,follow
UCL4WVABPXK,llm-control,4,2,0,decline,2447.3,,,0.95,7.83,follow
UCL4WVABPXK,llm-control,4,3,0,decline,2447.3,,,-1.27,1.11,unfollow
UCL4WVABPXK,llm-control,4,4,1,follow,2447.3,800,0.3268908593,5,7.65,follow
UCL4WVABPXK,llm-control,5,1,1,unfollow,4338.5,797.16,,-11,1.32,unfollow
UCL6098GOLK,llm-control,1,1,0,decline,1000,,,1.3,-3.99,follow
UCL6098GOLK,llm-control,1,2,1,follow,700,100,0.1428571429,3,1.45,follow
UCL6098GOLK,llm-control,1,3,0,decline,600,,,1.8,-2.84,follow
UCL6098GOLK,llm-control,2,1,0,decline,1600,,,4.9,-9.91,follow
UCL6098GOLK,llm-control,2,2,1,follow,1600,200,0.125,13,3.78,follow
UCL6098GOLK,llm-control,2,3,1,follow,1400,100,0.0714285714,4.75,-3.99,follow
UCL6098GOLK,llm-control,3,1,1,follow,2300,500,0.2173913043,9.5,2.54,follow
UCL6098GOLK,llm-control,5,1,1,unfollow,3102.18,384.57,,-11,6.89,unfollow
UCL6098GOLK,llm-control,5,3,1,unfollow,2486.75,192.79,,-1.2,1.21,unfollow
UCL3GNOX0FG,llm-reasoning,1,1,1,follow,1000,1000,1,1.3,-8.85,follow
UCL3GNOX0FG,llm-reasoning,2,1,1,follow,1000,1000,1,4.9,-7.07,follow
UCL3GNOX0FG,llm-reasoning,3,1,1,follow,1000,1000,1,9.5,-2.21,follow
UCL3GNOX0FG,llm-reasoning,4,2,1,follow,1000,1000,1,5,3.12,follow
UCL3GNOX0FG,llm-reasoning,4,3,1,unfollow,0,1039.56,,-4.9,-0.37,unfollow
UCL3GNOX0FG,llm-reasoning,4,4,1,follow,1039.56,1039.56,1,0.95,0.92,follow
UCL3GNOX0FG,llm-reasoning,5,1,1,unfollow,1000,976.45,,-1.2,-1.9,unfollow
UCL3GNOX0FG,llm-reasoning,5,2,1,follow,1976.45,1976.45,1,12,-2.93,follow
UCLNC2C00CG,llm-control,1,1,1,follow,1000,200,0.2,3,-1.54,follow
UCLNC2C00CG,llm-control,1,2,0,decline,0,,,1.3,-2.09,follow
UCLNC2C00CG,llm-control,2,3,0,decline,1000,,,4.75,0.91,follow
UCLNC2C00CG,llm-control,3,1,0,decline,59.52,,,9.5,1.44,follow
UCLNC2C00CG,llm-control,4,1,0,decline,1059.52,,,-4.9,-7.68,unfollow
UCLDE02VDS2,llm-reasoning,1,1,1,follow,1000,200,0.2,3,-4.25,follow
UCLDE02VDS2,llm-reasoning,1,2,1,follow,800,300,0.375,11,-2.07,follow
UCLDE02VDS2,llm-reasoning,1,3,0,decline,500,,,1.3,9.98,follow
UCLDE02VDS2,llm-reasoning,2,1,0,decline,1500,,,4.9,-3.85,follow
UCLDE02VDS2,llm-reasoning,2,2,1,follow,1500,300,0.2,2.29,-0.12,follow
UCLDE02VDS2,llm-reasoning,2,3,1,follow,1200,500,0.4166666667,4.75,-4.2,follow
UCLDE02VDS2,llm-reasoning,3,1,1,follow,1700,700,0.4117647059,12,-1.49,follow
UCLDE02VDS2,llm-reasoning,3,3,1,unfollow,1000,342.99,,-11,-1.96,unfollow
UCLDE02VDS2,llm-reasoning,3,4,1,follow,1342.99,250,0.1861517956,9.5,5.49,follow
UCLDE02VDS2,llm-reasoning,4,1,1,unfollow,2092.99,313.9,,-1.27,-2.09,unfollow
UCLDE02VDS2,llm-reasoning,5,1,1,unfollow,3406.89,744.8,,-11,-3.3,unfollow
UCLDE02VDS2,llm-reasoning,5,2,1,follow,4151.69,2000,0.4817315358,12,5.01,follow
UCLDE02VDS2,llm-reasoning,5,3,1,unfollow,2151.69,249.11,,-11,-4.68,unfollow
UCLOWSEFP4L,llm-reasoning,4,1,1,follow,1060.38,300,0.2829174447,5,2.01,follow
UCLOWSEFP4L,llm-reasoning,5,2,0,decline,1020.38,,,-11,2.02,unfollow
UCLUKB9CQI2,llm-reasoning,1,1,0,decline,1000,,,11,3.6,follow
UCLUKB9CQI2,llm-reasoning,1,2,1,follow,1000,120,0.12,3,1.25,follow
UCLUKB9CQI2,llm-reasoning,2,1,1,follow,1880,500,0.2659574468,2.29,12.31,follow
UCLUKB9CQI2,llm-reasoning,2,2,1,follow,1380,1380,1,13,7.8,follow
UCLUKB9CQI2,llm-reasoning,2,3,0,zero_optout,0,0,,4.75,-5.03,follow
UCLUKB9CQI2,llm-reasoning,3,1,1,follow,1000,1000,1,9.5,-5.92,follow
UCLUKB9CQI2,llm-reasoning,3,3,0,zero_optout,0,0,,12,3.77,follow
UCLUKB9CQI2,llm-reasoning,4,1,1,unfollow,1000,523.16,,-1.27,3.72,unfollow
UCLUKB9CQI2,llm-reasoning,4,4,1,follow,1523.16,1523,0.9998949552,0.95,-1.56,follow
UCLUKB9CQI2,llm-reasoning,5,4,1,unfollow,1000.16,996.45,,-11,3.13,unfollow
UCLDHZ8L5KK,llm-reasoning,1,1,1,follow,1000,800,0.8,1.3,10.66,follow
UCLDHZ8L5KK,llm-reasoning,1,2,1,follow,200,200,1,11,7.95,follow
UCLDHZ8L5KK,llm-reasoning,1,3,1,follow,20,10,0.5,3,4.05,follow
UCLDHZ8L5KK,llm-reasoning,1,4,0,decline,10,,,1.8,-7.13,follow
