participant_id,condition,month,round,cell_index,decision_type,direction,followed,available_snapshot,invested,cas,literacy,is_HCI
P01,llm-control,1,1,1,follow,follow,1,82.29,16.98,0.2063434196,1,1
P01,llm-control,1,2,2,follow,follow,1,65.71,39.33,0.5985390352,1,1
P01,llm-control,1,3,3,follow,follow,1,109.59,76.84,0.7011588649,1,1
P01,llm-control,1,4,4,unfollow,unfollow,1,114.41,60.19,,1,1
P01,llm-control,2,1,5,follow,follow,1,130.32,39.49,0.3030233272,1,1
P01,llm-control,2,2,6,follow,follow,1,131.98,61.02,0.4623427792,1,1
P01,llm-control,2,3,7,follow,follow,1,158.73,123.97,0.7810117810,1,1
P01,llm-control,2,4,8,unfollow,unfollow,1,134.30,45.27,,1,1
P01,llm-control,3,1,9,follow,follow,1,139.40,65.51,0.4699426112,1,1
P01,llm-control,3,2,10,follow,follow,1,150.51,30.51,0.2027107833,1,1
P01,llm-control,3,3,11,follow,follow,1,149.32,108.24,0.7248861505,1,1
P01,llm-control,3,4,12,unfollow,unfollow,1,135.51,60.94,,1,1
P01,llm-control,4,1,13,follow,follow,1,91.61,45.68,0.4986355201,1,1
P01,llm-control,4,2,14,follow,follow,1,130.37,62.20,0.4771036281,1,1
P01,llm-control,4,3,15,zero_optout,follow,0,110.48,0.00,,1,1
P01,llm-control,4,4,16,unfollow,unfollow,1,124.45,75.94,,1,1
P01,llm-control,5,1,17,follow,follow,1,195.11,171.38,0.8783763005,1,1
P01,llm-control,5,2,18,decline,follow,0,166.12,,,1,1
P01,llm-control,5,3,19,follow,follow,1,135.91,5.71,0.0420130969,1,1
P01,llm-control,5,4,20,unfollow,unfollow,1,129.04,35.15,,1,1
P02,llm-control,1,1,1,follow,follow,1,81.53,6.17,0.0756776647,1,0
P02,llm-control,1,2,2,follow,follow,1,95.42,28.65,0.3002515196,1,0
P02,llm-control,1,3,3,follow,follow,1,80.04,54.16,0.6766616692,1,0
P02,llm-control,1,4,4,decline,unfollow,0,127.55,,,1,0
P02,llm-control,2,1,5,follow,follow,1,102.93,18.67,0.1813854076,1,0
