participant_id,condition,month,round,followed,decision_type,direction,cas,profile_name,complexity_tier,offsetting
UCLVG5H9CDR,llm-reasoning,1,1,1,follow,follow,0.1,Kanya Bunnag,single-factor,0
UCLVG5H9CDR,llm-reasoning,1,2,1,follow,follow,0.4444444444,Aricka Lewis,single-factor,0
UCLVG5H9CDR,llm-reasoning,1,3,1,follow,follow,0.2,Chidinma Obi,two-factor-offsetting,1
UCLVG5H9CDR,llm-reasoning,1,4,1,follow,follow,1,Priya Nair,three-factor-mixed,0
UCLVG5H9CDR,llm-reasoning,2,1,1,follow,follow,0.2,Alois Reiter,three-factor-mixed,0
UCLVG5H9CDR,llm-reasoning,2,2,0,decline,follow,,Santiago Reyes,three-factor-mixed,0
UCLVG5H9CDR,llm-reasoning,2,3,1,follow,follow,1,Masami Nishimura,single-factor,0
UCLVG5H9CDR,llm-reasoning,2,4,1,follow,follow,1,Tariq Al-Rashid,two-factor-offsetting,1
UCLVG5H9CDR,llm-reasoning,3,1,1,follow,follow,0.5,Benjamin Parker,single-factor,0
UCLVG5H9CDR,llm-reasoning,3,2,1,unfollow,unfollow,,Chidinma Obi,two-factor-offsetting,1
UCLVG5H9CDR,llm-reasoning,3,3,1,unfollow,unfollow,,Aricka Lewis,single-factor,0
UCLVG5H9CDR,llm-reasoning,3,4,1,follow,follow,0.1888003625,Ingrid Larsson,two-factor-offsetting,1
UCLVG5H9CDR,llm-reasoning,4,2,1,unfollow,unfollow,,Alois Reiter,three-factor-mixed,0
UCLVG5H9CDR,llm-reasoning,5,2,1,unfollow,unfollow,,Benjamin Parker,single-factor,0
UCLVG5H9CDR,llm-reasoning,5,3,1,unfollow,unfollow,,Ingrid Larsson,two-factor-offsetting,1
UCL4H0D91DM,llm-control,1,1,0,decline,follow,,Priya Nair,three-factor-mixed,0
UCL4H0D91DM,llm-control,1,2,1,follow,follow,0.2,Aricka Lewis,single-factor,0
UCL4H0D91DM,llm-control,1,3,0,decline,follow,,Kanya Bunnag,single-factor,0
UCL4H0D91DM,llm-control,1,4,1,follow,follow,0.25,Chidinma Obi,two-factor-offsetting,1
UCL4H0D91DM,llm-control,2,1,0,decline,follow,,Tariq Al-Rashid,two-factor-offsetting,1
UCL4H0D91DM,llm-control,2,2,1,follow,follow,0.375,Masami Nishimura,single-factor,0
UCL4H0D91DM,llm-control,2,3,1,follow,follow,0.3,Alois Reiter,three-factor-mixed,0
UCL4H0D91DM,llm-control,2,4,0,decline,follow,,Santiago Reyes,three-factor-mixed,0
UCL4H0D91DM,llm-control,3,1,0,decline,follow,,Benjamin Parker,single-factor,0
UCL4H0D91DM,llm-control,3,2,0,decline,unfollow,,Chidinma Obi,two-factor-offsetting,1
UCL4H0D91DM,llm-control,4,2,1,follow,follow,0.1721757156,Kanya Bunnag,single-factor,0
UCL4H0D91DM,llm-control,4,3,1,unfollow,unfollow,,Alois Reiter,three-factor-mixed,0
UCL4H0D91DM,llm-control,4,4,1,follow,follow,0.2577433465,Tariq Al-Rashid,two-factor-offsetting,1
UCL3254LKQG,llm-control,1,1,1,follow,follow,0.1,Chidinma Obi,two-factor-offsetting,1
UCL3254LKQG,llm-control,1,2,1,follow,follow,0.4,Aricka Lewis,single-factor,0
UCL3254LKQG,llm-control,2,1,1,follow,follow,0.2272727273,Masami Nishimura,single-factor,0
UCL3254LKQG,llm-control,2,2,1,follow,follow,0.2941176471,Tariq Al-Rashid,two-factor-offsetting,1
UCL3254LKQG,llm-control,2,4,1,follow,follow,0.2995686212,Alois Reiter,three-factor-mixed,0
UCL3254LKQG,llm-control,3,1,1,follow,follow,0.3485454038,Benjamin Parker,single-factor,0
UCL3254LKQG,llm-control,3,2,1,follow,follow,0.2675131973,Ingrid Larsson,two-factor-offsetting,1
UCL3254LKQG,llm-control,4,1,1,unfollow,unfollow,,Alois Reiter,three-factor-mixed,0
UCL3254LKQG,llm-control,4,4,1,follow,follow,0.2916784148,Kanya Bunnag,single-factor,0
UCL3254LKQG,llm-control,5,1,1,follow,follow,0.4886677939,Masami Nishimura,single-factor,0
UCL3254LKQG,llm-control,5,3,1,unfollow,unfollow,,Benjamin Parker,single-factor,0
UCL3254LKQG,llm-control,5,4,1,unfollow,unfollow,,Ingrid Larsson,two-factor-offsetting,1
UCL4WVABPXK,llm-control,1,1,1,follow,follow,1,Aricka Lewis,single-factor,0
UCL4WVABPXK,llm-control,1,2,0,decline,follow,,Kanya Bunnag,single-factor,0
UCL4WVABPXK,llm-control,1,3,0,decline,follow,,Priya Nair,three-factor-mixed,0
UCL4WVABPXK,llm-control,1,4,0,decline,follow,,Chidinma Obi,two-factor-offsetting,1
UCL4WVABPXK,llm-control,2,1,1,follow,follow,0.8,Masami Nishimura,single-factor,0
UCL4WVABPXK,llm-control,2,2,0,decline,follow,,Tariq Al-Rashid,two-factor-offsetting,1
UCL4WVABPXK,llm-control,2,3,1,follow,follow,1,Santiago Reyes,three-factor-mixed,0
UCL4WVABPXK,llm-control,3,1,1,follow,follow,0.2625274833,Ingrid Larsson,two-factor-offsetting,1
UCL4WVABPXK,llm-control,3,2,1,follow,follow,0.3559827348,Benjamin Parker,single-factor,0
UCL4WVABPXK,llm-control,4,2,0,decline,follow,,Tariq Al-Rashid,two-factor-offsetting,1
UCL4WVABPXK,llm-control,4,3,0,decline,unfollow,,Santiago Reyes,three-factor-mixed,0
UCL4WVABPXK,llm-control,4,4,1,follow,follow,0.3268908593,Kanya Bunnag,single-factor,0
UCL4WVABPXK,llm-control,5,1,1,unfollow,unfollow,,Ingrid Larsson,two-factor-offsetting,1
UCL6098GOLK,llm-control,1,1,0,decline,follow,,Priya Nair,three-factor-mixed,0
UCL6098GOLK,llm-control,1,2,1,follow,follow,0.1428571429,Kanya Bunnag,single-factor,0
UCL6098GOLK,llm-control,1,3,0,decline,follow,,Chidinma Obi,two-factor-offsetting,1
UCL6098GOLK,llm-control,2,1,0,decline,follow,,Alois Reiter,three-factor-mixed,0
UCL6098GOLK,llm-control,2,2,1,follow,follow,0.125,Masami Nishimura,single-factor,0
UCL6098GOLK,llm-control,2,3,1,follow,follow,0.0714285714,Tariq Al-Rashid,two-factor-offsetting,1
UCL6098GOLK,llm-control,3,1,1,follow,follow,0.2173913043,Ingrid Larsson,two-factor-offsetting,1
UCL6098GOLK,llm-control,5,1,1,unfollow,unfollow,,Benjamin Parker,single-factor,0
UCL6098GOLK,llm-control,5,3,1,unfollow,unfollow,,Priya Nair,three-factor-mixed,0
UCL3GNOX0FG,llm-reasoning,1,1,1,follow,follow,1,Priya Nair,three-factor-mixed,0
UCL3GNOX0FG,llm-reasoning,2,1,1,follow,follow,1,Alois Reiter,three-factor-mixed,0
UCL3GNOX0FG,llm-reasoning,3,1,1,follow,follow,1,Ingrid Larsson,two-factor-offsetting,1
UCL3GNOX0FG,llm-reasoning,4,2,1,follow,follow,1,Kanya Bunnag,single-factor,0
UCL3GNOX0FG,llm-reasoning,4,3,1,unfollow,unfollow,,Alois Reiter,three-factor-mixed,0
UCL3GNOX0FG,llm-reasoning,4,4,1,follow,follow,1,Tariq Al-Rashid,two-factor-offsetting,1
UCL3GNOX0FG,llm-reasoning,5,1,1,unfollow,unfollow,,Priya Nair,three-factor-mixed,0
UCL3GNOX0FG,llm-reasoning,5,2,1,follow,follow,1,Masami Nishimura,single-factor,0
UCLNC2C00CG,llm-control,1,1,1,follow,follow,0.2,Kanya Bunnag,single-factor,0
UCLNC2C00CG,llm-control,1,2,0,decline,follow,,Priya Nair,three-factor-mixed,0
UCLNC2C00CG,llm-control,2,3,0,decline,follow,,Tariq Al-Rashid,two-factor-offsetting,1
UCLNC2C00CG,llm-control,3,1,0,decline,follow,,Ingrid Larsson,two-factor-offsetting,1
UCLNC2C00CG,llm-control,4,1,0,decline,unfollow,,Alois Reiter,three-factor-mixed,0
UCLDE02VDS2,llm-reasoning,1,1,1,follow,follow,0.2,Kanya Bunnag,single-factor,0
UCLDE02VDS2,llm-reasoning,1,2,1,follow,follow,0.375,Aricka Lewis,single-factor,0
UCLDE02VDS2,llm-reasoning,1,3,0,decline,follow,,Priya Nair,three-factor-mixed,0
UCLDE02VDS2,llm-reasoning,2,1,0,decline,follow,,Alois Reiter,three-factor-mixed,0
UCLDE02VDS2,llm-reasoning,2,2,1,follow,follow,0.2,Santiago Reyes,three-factor-mixed,0
UCLDE02VDS2,llm-reasoning,2,3,1,follow,follow,0.4166666667,Tariq Al-Rashid,two-factor-offsetting,1
UCLDE02VDS2,llm-reasoning,3,1,1,follow,follow,0.4117647059,Benjamin Parker,single-factor,0
UCLDE02VDS2,llm-reasoning,3,3,1,unfollow,unfollow,,Aricka Lewis,single-factor,0
UCLDE02VDS2,llm-reasoning,3,4,1,follow,follow,0.1861517956,Ingrid Larsson,two-factor-offsetting,1
UCLDE02VDS2,llm-reasoning,4,1,1,unfollow,unfollow,,Santiago Reyes,three-factor-mixed,0
UCLDE02VDS2,llm-reasoning,5,1,1,unfollow,unfollow,,Benjamin Parker,single-factor,0
UCLDE02VDS2,llm-reasoning,5,2,1,follow,follow,0.4817315358,Masami Nishimura,single-factor,0
UCLDE02VDS2,llm-reasoning,5,3,1,unfollow,unfollow,,Ingrid Larsson,two-factor-offsetting,1
UCLOWSEFP4L,llm-reasoning,4,1,1,follow,follow,0.2829174447,Kanya Bunnag,single-factor,0
UCLOWSEFP4L,llm-reasoning,5,2,0,decline,unfollow,,Benjamin Parker,single-factor,0
UCLUKB9CQI2,llm-reasoning,1,1,0,decline,follow,,Aricka Lewis,single-factor,0
UCLUKB9CQI2,llm-reasoning,1,2,1,follow,follow,0.12,Kanya Bunnag,single-factor,0
UCLUKB9CQI2,llm-reasoning,2,1,1,follow,follow,0.2659574468,Santiago Reyes,three-factor-mixed,0
UCLUKB9CQI2,llm-reasoning,2,2,1,follow,follow,1,Masami Nishimura,single-factor,0
UCLUKB9CQI2,llm-reasoning,2,3,0,zero_optout,follow,,Tariq Al-Rashid,two-factor-offsetting,1
UCLUKB9CQI2,llm-reasoning,3,1,1,follow,follow,1,Ingrid Larsson,two-factor-offsetting,1
UCLUKB9CQI2,llm-reasoning,3,3,0,zero_optout,follow,,Benjamin Parker,single-factor,0
UCLUKB9CQI2,llm-reasoning,4,1,1,unfollow,unfollow,,Santiago Reyes,three-factor-mixed,0
UCLUKB9CQI2,llm-reasoning,4,4,1,follow,follow,0.9998949552,Tariq Al-Rashid,two-factor-offsetting,1
UCLUKB9CQI2,llm-reasoning,5,4,1,unfollow,unfollow,,Ingrid Larsson,two-factor-offsetting,1
UCLDHZ8L5KK,llm-reasoning,1,1,1,follow,follow,0.8,Priya Nair,three-factor-mixed,0
UCLDHZ8L5KK,llm-reasoning,1,2,1,follow,follow,1,Aricka Lewis,single-factor,0
UCLDHZ8L5KK,llm-reasoning,1,3,1,follow,follow,0.5,Kanya Bunnag,single-factor,0
UCLDHZ8L5KK,llm-reasoning,1,4,0,decline,follow,,Chidinma Obi,two-factor-offsetting,1
UCLDHZ8L5KK,llm-reasoning,2,1,1,follow,follow,0.198019802,Alois Reiter,three-factor-mixed,0
UCLDHZ8L5KK,llm-reasoning,2,2,0,decline,follow,,Santiago Reyes,three-factor-mixed,0
UCLDHZ8L5KK,llm-reasoning,2,3,1,follow,follow,0.6172839506,Masami Nishimura,single-factor,0
UCLDHZ8L5KK,llm-reasoning,2,4,0,decline,follow,,Tariq Al-Rashid,two-factor-offsetting,1
UCLDHZ8L5KK,llm-reasoning,3,1,1,follow,follow,0.2290076336,Ingrid Larsson,two-factor-offsetting,1
