participant_id,condition,n_cells,n_follow,cas_sum,cas_n,inv_sum_move,inv_n_move,inv_sum_fol,inv_n_fol,n_off,n_off_follow,n_non,n_non_follow,n_sf,n_sf_follow,n_2fo,n_2fo_follow,n_3fm,n_3fm_follow,n_blocks,n_blocks_opened,open_rate,ever_opened,SP,T,U,R,TR,MC1,mc2_correct,follow_ratio
UCL0ZGVZV11,llm-control,15,14,5.4465912995,9,8941.28,14,6520,9,3,3,12,11,6,5,3,3,6,6,,,,,6,,5.66666666666667,6,5.5,7,,0.933333333333333
UCL3254LKQG,llm-control,12,12,2.7173638054,9,5149.21,12,3200,9,4,4,8,8,6,6,4,4,2,2,,,,,5.4,,3.33333333333333,3,3,2,,1
UCL3ABJV0L4,llm-control,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,,,,,3.4,,4,2.5,2.5,1,,0
UCL4H0D91DM,llm-control,13,7,1.5549190621,6,2811.87,7,2500,6,4,2,9,5,5,3,4,2,4,2,,,,,4.6,,4.33333333333333,3.5,1.5,1,,0.538461538461538
UCL4WVABPXK,llm-control,13,7,3.7454010774,6,5197.16,7,4400,6,5,2,8,5,5,4,5,2,3,1,,,,,3.2,,3,2.5,5,3,,0.538461538461538
UCL4XQH8LDO,llm-control,6,5,0.6375532822,4,1389.94,5,1000,4,3,2,3,3,2,2,3,2,1,1,,,,,4.6,,6,6,6,3,,0.833333333333333
UCL6098GOLK,llm-control,9,6,0.5566770186,4,1477.36,6,900,4,3,2,6,4,3,3,3,2,3,1,,,,,3.6,,4,3.5,3,2,,0.666666666666667
UCL8PEWAHAG,llm-control,1,1,0,0,255.72,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,3.8,,6,4,4,1,,1
UCLB1SIQD7H,llm-control,14,13,0.4015323118,8,1121.13,13,700,8,4,3,10,10,6,6,4,3,4,4,,,,,4.4,,5,3.5,5,3,,0.928571428571429
UCLJY0QZW9Y,llm-control,9,6,0.5928522655,5,1173.33,6,750,5,2,0,7,6,4,4,2,0,3,2,,,,,3,,4.33333333333333,4.5,3,2,,0.666666666666667
UCLK6ZL2YU1,llm-control,11,8,0.3483255809,6,860.2,8,300,6,4,3,7,5,4,2,4,3,3,3,,,,,3.4,,6,5,2,1,,0.727272727272727
UCLNC2C00CG,llm-control,5,1,0.2,1,200,1,200,1,2,0,3,1,1,1,2,0,2,0,,,,,4.4,,6.66666666666667,3,5,3,,0.2
UCLNRA0PN39,llm-control,15,7,0.8885620915,4,2342.52,7,1400,4,4,0,11,7,6,3,4,0,5,4,,,,,2.8,,3.33333333333333,1,4,1,,0.466666666666667
UCLRS30TB8T,llm-control,11,7,2.2541843672,6,603,7,500,6,3,2,8,5,5,2,3,2,3,3,,,,,4,,4,3,3,3,,0.636363636363636
UCLSPQP3TAQ,llm-control,11,10,1.8573170671,8,3296.31,10,2450,8,3,3,8,7,5,5,3,3,3,2,,,,,6.4,,6.66666666666667,7,6.5,6,,0.909090909090909
UCLWA213LXW,llm-control,9,7,3.3938451168,6,3221.65,7,2650,6,3,2,6,5,4,4,3,2,2,1,,,,,4.4,,5,6,4.5,1,,0.777777777777778
UCLY5TYE7T0,llm-control,11,8,1.8132209484,5,1641.63,8,750,5,3,3,8,5,5,3,3,3,3,2,,,,,4.4,,6.33333333333333,4.5,4.5,3,,0.727272727272727
UCLYFQMGG1H,llm-control,12,5,2.25,4,1619.2,5,1300,4,4,1,8,4,4,3,4,1,4,1,,,,,1.6,,1.66666666666667,1.5,1.5,1,,0.416666666666667
UCL33ZJQWRY,llm-reasoning,17,17,5.6321393025,10,6549.26,17,3500,10,5,5,12,12,6,6,5,5,6,6,20,18,0.9,1,4.8,7,7,7,6,7,0,1
UCL3GNOX0FG,llm-reasoning,8,8,6,6,9032.02,8,7016.01,6,2,2,6,6,2,2,2,2,4,4,12,0,0,0,1,4,4,4,4,4,0,1
UCL43JN2Z3V,llm-reasoning,11,7,0.8030537784,3,2748.75,7,700,3,2,2,9,5,5,2,2,2,4,3,17,0,0,0,4.6,4.66666666666667,6.66666666666667,6.5,6,3,0,0.636363636363636
UCL5G98R8JI,llm-reasoning,15,15,4.9120768651,9,4972.67,15,3140,9,5,5,10,10,4,4,5,5,6,6,16,0,0,0,4,5,5,6,5,6,0,1
UCL74OBTXFB,llm-reasoning,12,5,0.0478350467,4,117.87,5,95,4,3,1,9,4,6,4,3,1,3,0,14,0,0,0,3.4,3.33333333333333,3.66666666666667,3.5,4,4,1,0.416666666666667
